artist_id,artist_name,artist_popularity,artist_followers,artist_genres,artist_image
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,145960477,,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e
2yNNYQBChuox9A5Ka93BIn,HUNTR/X,87,3725352,k-pop,https://i.scdn.co/image/ab67616d0000b2736c1334650ced0e28f0b2e13f
4qQgMu20UfwRFHFfyMIrTH,Senzei,18,222,afro r&b,https://i.scdn.co/image/ab6761610000e5eb8f266dc7cdee1a58b0bb5ada
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,92,26786200,pop,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,91,85170938,,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,85,2944737,,https://i.scdn.co/image/ab6761610000e5ebe5547931c7f652c2ece8b76c
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,56281848,k-pop,https://i.scdn.co/image/ab6761610000e5eb9b57f5eccf180a0049be84b3
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,89,14073416,country,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
7fmXV2O48buswss04YetaN,HANA,70,466645,j-pop,https://i.scdn.co/image/ab6761610000e5ebcc807c78c71b0b4fe20179e1
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,79,8699089,,https://i.scdn.co/image/ab6761610000e5eb57082fd22d755e80a648fac3
3TVXtAsR1Inumwj472S9r4,Drake,96,103393441,rap,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,80,2330489,,https://i.scdn.co/image/ab6761610000e5eb3ea0cd016115b811fdcba1b1
6B9FnDkafDWIYBiQy6Vvww,LAWUYI,6,429,"alté, afroswing",https://i.scdn.co/image/ab6761610000e5ebb731323da0249fce590f988c
3eVa5w3URK5duf6eyVDbu9,ROSÉ,79,13401598,k-pop,https://i.scdn.co/image/ab6761610000e5ebcfb4350222919670128ff2dc
246dkjvS1zLTtiykXe5h60,Post Malone,86,47760255,,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
0qDZ7wym9Vg843lDKkzmoR,Marcelo Zarvos,60,26221,,https://i.scdn.co/image/5f49eaf662b1edc77396a2cdbc549c864e89092e
